LON,LAT,REGIME
34.5,41.5,SS
-7.5,41.5,TF
26.5,49.5,NF
-5.5,51.5,TF
-1.5,49.5,NF
39.5,41.5,NF
-4.5,51.5,TF
-6.5,38.5,NF
36.5,42.5,TF
-2.5,55.5,NF
27.5,42.5,TF
-8.5,37.5,NF
38.5,44.5,TF
25.5,51.5,TF
26.5,40.5,SS
0.5,44.5,TF
22.5,48.5,NF
0.5,52.5,TF
33.5,38.5,SS
2.5,37.5,TF
28.5,46.5,NF
9.5,54.5,TF
5.5,56.5,TF
-3.5,43.5,NF
-0.5,52.5,NF
-5.5,56.5,TF
-7.5,50.5,TF
22.5,51.5,TF
22.5,42.5,TF
31.5,43.5,TF
2.5,44.5,SS
13.5,53.5,TF
30.5,44.5,TF
18.5,49.5,TF
12.5,41.5,TF
29.5,40.5,TF
-1.5,54.5,NF
14.5,46.5,SS
10.5,43.5,TF
25.5,48.5,NF
6.5,43.5,TF
17.5,56.5,TF
-2.5,56.5,SS
15.5,50.5,TF
2.5,39.5,TF
17.5,57.5,TF
37.5,41.5,SS
-6.5,46.5,SS
36.5,39.5,SS
20.5,54.5,TF
32.5,44.5,NF
19.5,52.5,NF
8.5,56.5,TF
23.5,41.5,NF
-1.5,39.5,NF
18.5,50.5,NF
28.5,44.5,TF
6.5,40.5,TF
35.5,35.5,TF
30.5,37.5,NF
3.5,38.5,TF
18.5,57.5,TF
-3.5,37.5,TF
11.5,45.5,TF
24.5,36.5,TF
4.5,37.5,TF
-2.5,53.5,NF
16.5,47.5,TF
44.5,41.5,TF
20.5,55.5,NF
9.5,37.5,TF
9.5,47.5,TF
18.5,37.5,TF
13.5,58.5,NF
9.5,43.5,SS
41.5,43.5,TF
43.5,37.5,NF
0.5,56.5,TF
21.5,42.5,NF
13.5,38.5,TF
35.5,41.5,TF
27.5,35.5,TF
-7.5,42.5,TF
33.5,36.5,NF
-2.5,37.5,SS
-9.5,39.5,NF
21.5,43.5,TF
-7.5,37.5,SS
5.5,38.5,SS
3.5,51.5,NF
8.5,36.5,TF
42.5,38.5,TF
8.5,37.5,TF
3.5,53.5,TF
19.5,58.5,NF
15.5,49.5,NF
26.5,48.5,NF
29.5,36.5,NF
-6.5,53.5,NF
16.5,41.5,TF
14.5,55.5,TF
15.5,51.5,NF
21.5,52.5,NF
5.5,48.5,TF
22.5,53.5,TF
7.5,44.5,TF
20.5,52.5,NF
10.5,42.5,TF
12.5,43.5,NF
-6.5,56.5,TF
-5.5,36.5,TF
-0.5,50.5,NF
0.5,46.5,TF
12.5,45.5,NF
2.5,52.5,TF
31.5,42.5,TF
19.5,51.5,TF
8.5,41.5,NF
22.5,54.5,TF
41.5,37.5,TF
-0.5,35.5,NF
20.5,57.5,SS
20.5,35.5,TF
30.5,43.5,TF
8.5,39.5,TF
0.5,41.5,TF
-10.5,52.5,TF
-6.5,42.5,NF
29.5,41.5,SS
-2.5,45.5,TF
25.5,40.5,NF
12.5,47.5,TF
2.5,38.5,TF
20.5,56.5,TF
37.5,38.5,TF
14.5,37.5,SS
11.5,44.5,NF
16.5,43.5,TF
25.5,42.5,TF
17.5,40.5,NF
-3.5,53.5,TF
31.5,44.5,TF
12.5,44.5,TF
19.5,56.5,TF
2.5,43.5,SS
6.5,38.5,SS
8.5,50.5,TF
35.5,43.5,TF
7.5,39.5,SS
4.5,44.5,NF
6.5,52.5,NF
-9.5,36.5,SS
-10.5,39.5,SS
36.5,41.5,TF
-5.5,37.5,TF
40.5,36.5,SS
-5.5,43.5,NF
36.5,35.5,NF
-3.5,36.5,TF
1.5,44.5,NF
27.5,44.5,TF
-10.5,53.5,NF
32.5,43.5,TF
-4.5,40.5,TF
23.5,58.5,TF
-6.5,50.5,TF
20.5,46.5,TF
22.5,46.5,TF
20.5,48.5,NF
41.5,38.5,TF
7.5,57.5,TF
38.5,36.5,NF
22.5,44.5,TF
13.5,40.5,TF
30.5,41.5,TF
-0.5,54.5,TF
14.5,56.5,NF
6.5,44.5,TF
2.5,35.5,SS
6.5,51.5,TF
10.5,41.5,TF
1.5,53.5,TF
3.5,46.5,NF
-10.5,51.5,TF
17.5,48.5,TF
5.5,39.5,TF
-0.5,39.5,NF
11.5,36.5,SS
44.5,39.5,TF
19.5,40.5,TF
16.5,57.5,TF
10.5,50.5,TF
13.5,55.5,TF
