ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME,AZI,geometry
grid_000891,-1.5,54.5,0.0,445.00049766733326,EU,A,NF,,POINT (-1.5 54.5)
grid_000892,-2.5,54.5,0.0,445.00328723610687,EU,C,NF,,POINT (-2.5 54.5)
grid_000893,-2.5,53.5,0.0,333.6982928728241,EU,C,NF,,POINT (-2.5 53.5)
grid_000894,-4.5,54.5,0.0,445.00886637361833,EU,C,SS,,POINT (-4.5 54.5)
grid_000895,-3.5,54.5,0.0,445.0060768048684,EU,C,TF,,POINT (-3.5 54.5)
grid_000896,-4.5,53.5,0.0,333.7038720103355,EU,C,NF,,POINT (-4.5 53.5)
grid_000897,-3.5,53.5,0.0,333.7010824415862,EU,C,TF,,POINT (-3.5 53.5)
grid_000898,-1.5,43.5,0.0,778.3016679525325,EU,C,TF,,POINT (-1.5 43.5)
grid_000899,-0.5,43.5,0.0,778.3044575213186,EU,C,NF,,POINT (-0.5 43.5)
grid_000900,-1.5,45.5,0.0,556.0576471251228,EU,C,TF,,POINT (-1.5 45.5)
grid_000901,-0.5,45.5,0.0,556.0604366939081,EU,C,TF,,POINT (-0.5 45.5)
grid_000903,-3.5,43.5,0.0,778.2960888149969,EU,C,NF,,POINT (-3.5 43.5)
grid_000905,-2.5,43.5,0.0,778.2988783837601,EU,C,NF,,POINT (-2.5 43.5)
grid_000906,-0.5,44.5,0.0,667.1922142941728,EU,C,TF,,POINT (-0.5 44.5)
grid_000907,-1.5,44.5,0.0,667.1894247253873,EU,C,TF,,POINT (-1.5 44.5)
grid_000908,-8.5,44.5,0.0,667.1698977442242,EU,C,TF,,POINT (-8.5 44.5)
grid_000913,-7.5,44.5,0.0,667.1726873129255,EU,C,NF,,POINT (-7.5 44.5)
grid_000914,-6.5,44.5,0.0,667.1754768816387,EU,C,SS,,POINT (-6.5 44.5)
grid_000919,-3.5,47.5,0.0,333.7299105868231,EU,C,TF,,POINT (-3.5 47.5)
grid_000920,-3.5,48.5,0.0,222.53959078150643,EU,C,TF,,POINT (-3.5 48.5)
grid_000921,-1.5,47.5,0.0,333.73548972435856,EU,C,NF,,POINT (-1.5 47.5)
grid_000922,-0.5,47.5,0.0,333.73827929314416,EU,C,TF,,POINT (-0.5 47.5)
grid_000923,-2.5,47.5,0.0,333.73270015558404,EU,C,TF,,POINT (-2.5 47.5)
grid_000924,-2.5,48.5,0.0,222.54238035026694,EU,C,NF,,POINT (-2.5 48.5)
grid_000925,-1.5,48.5,0.0,222.54516991903995,EU,C,NF,,POINT (-1.5 48.5)
grid_000927,-4.5,47.5,0.0,333.7271210180721,EU,C,SS,,POINT (-4.5 47.5)
grid_000930,-0.5,46.5,0.0,444.90911899662757,EU,C,TF,,POINT (-0.5 46.5)
grid_000931,-2.5,45.5,0.0,556.0548575563486,EU,C,TF,,POINT (-2.5 45.5)
grid_000932,-2.5,46.5,0.0,444.903539859068,EU,C,SS,,POINT (-2.5 46.5)
grid_000933,-1.5,46.5,0.0,444.90632942784254,EU,C,TF,,POINT (-1.5 46.5)
grid_000940,-2.5,50.5,0.0,0.10358690843620239,EU,C,TF,,POINT (-2.5 50.5)
grid_000942,-5.5,51.5,0.0,111.15305297650428,EU,C,TF,,POINT (-5.5 51.5)
grid_000943,-5.5,50.5,0.0,0.09521820218765592,EU,C,TF,,POINT (-5.5 50.5)
grid_000944,-4.5,50.5,0.0,0.09800777092546327,EU,C,TF,,POINT (-4.5 50.5)
grid_000946,-5.5,49.5,0.0,111.32427742450457,EU,C,TF,,POINT (-5.5 49.5)
grid_000947,-4.5,48.5,0.0,222.53680121275684,EU,C,TF,,POINT (-4.5 48.5)
grid_000948,-4.5,49.5,0.0,111.32706699324281,EU,C,TF,,POINT (-4.5 49.5)
grid_000949,-3.5,49.5,0.0,111.32985656199186,EU,C,TF,,POINT (-3.5 49.5)
grid_000950,-3.5,50.5,0.0,0.1007973396733286,EU,C,NF,,POINT (-3.5 50.5)
grid_000957,-6.5,50.5,0.0,0.09242863346167203,EU,C,TF,,POINT (-6.5 50.5)
grid_000960,-6.5,49.5,0.0,111.32148785577935,EU,C,TF,,POINT (-6.5 49.5)
grid_000962,-0.5,42.5,0.0,704.6022288073664,EU,C,TF,,POINT (-0.5 42.5)
grid_000963,-2.5,41.5,0.0,598.9093233660178,EU,C,TF,,POINT (-2.5 41.5)
grid_000964,-2.5,42.5,0.0,709.9769610266692,EU,C,NF,,POINT (-2.5 42.5)
grid_000965,-1.5,42.5,0.0,715.9368225690852,EU,C,NF,,POINT (-1.5 42.5)
grid_000966,-4.5,43.5,0.0,778.2932992462486,EU,C,NF,,POINT (-4.5 43.5)
grid_000967,-4.5,42.5,0.0,731.0221943454338,EU,C,TF,,POINT (-4.5 42.5)
grid_000968,-4.5,40.5,0.0,516.9289659871326,EU,C,TF,,POINT (-4.5 40.5)
grid_000969,-4.5,41.5,0.0,624.3019108884433,EU,C,NF,,POINT (-4.5 41.5)
grid_000970,-3.5,41.5,0.0,604.2547183855363,EU,C,SS,,POINT (-3.5 41.5)
grid_000971,-3.5,42.5,0.0,714.4246180091186,EU,C,TF,,POINT (-3.5 42.5)
grid_000972,-9.5,37.5,0.0,103.83844972357677,EU,C,TF,,POINT (-9.5 37.5)
grid_000973,-8.5,37.5,0.0,152.3691244683178,EU,C,NF,,POINT (-8.5 37.5)
grid_000974,-9.5,38.5,0.0,209.4516952496412,EU,C,NF,,POINT (-9.5 38.5)
grid_000975,-8.5,38.5,0.0,247.39675663392015,EU,C,NF,,POINT (-8.5 38.5)
grid_000976,-9.5,40.5,0.0,429.2373001115852,EU,C,TF,,POINT (-9.5 40.5)
grid_000977,-8.5,40.5,0.0,446.1655718943384,EU,C,NF,,POINT (-8.5 40.5)
grid_000978,-9.5,39.5,0.0,318.9434160639943,EU,C,NF,,POINT (-9.5 39.5)
grid_000979,-5.5,39.5,0.0,450.1545086598128,EU,C,NF,,POINT (-5.5 39.5)
grid_000980,-6.5,39.5,0.0,438.53780647757003,EU,C,TF,,POINT (-6.5 39.5)
grid_000981,-7.5,39.5,0.0,390.9548423532817,EU,C,TF,,POINT (-7.5 39.5)
