ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR,SOURCE_FILE
grid_000023,10.6,41.4,POINT (10.6 41.4),EU,TF,262.7491184767452,C,0.0,105.74878,74.25122,0.43826786,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000023,10.6,41.6,POINT (10.6 41.6),EU,TF,284.6616522991937,C,0.0,107.668465,72.331535,0.3112209,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000034,10.6,41.8,POINT (10.6 41.8),EU,TF,306.61812904869777,C,0.0,116.311584,63.688416,0.23785067,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000045,10.6,42.4,POINT (10.6 42.4),EU,TF,372.6748718736643,B,0.0,138.90154,41.098465,0.22870165,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000045,10.6,42.6,POINT (10.6 42.6),EU,NF,394.7392488878429,B,0.0,137.00381,42.996185,0.1992755,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000045,10.6,42.8,POINT (10.6 42.8),EU,TF,416.8205520775722,C,0.0,135.63014,44.369858,0.4375434,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000056,10.6,43.0,POINT (10.6 43),EU,TF,438.9163455288064,C,0.0,132.87189,47.128113,0.50065553,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000056,10.6,43.2,POINT (10.6 43.2),EU,TF,461.0246588443703,C,0.0,130.94844,49.05156,0.57704014,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000056,10.6,43.4,POINT (10.6 43.4),EU,TF,483.143881247268,C,0.0,134.3565,45.643494,0.63213116,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000067,10.6,43.6,POINT (10.6 43.6),EU,TF,505.2726832752125,C,0.0,136.26633,43.733673,0.66236985,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000067,10.6,43.8,POINT (10.6 43.8),EU,NF,527.4099580436502,C,0.0,131.6332,48.366806,0.6999167,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000067,10.6,44.0,POINT (10.6 44),EU,TF,549.5547766096668,C,0.0,112.14375,67.85625,0.6192498,iS-GNN_grid_0p6Gr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000078,10.6,44.2,POINT (10.6 44.2),EU,NF,571.7063536453961,C,0.0,116.26923,63.730766,0.70670474,iS-GNN_grid_0p6Ar_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
grid_000078,10.6,44.4,POINT (10.6 44.4),EU,NF,593.8640207498407,C,0.0,152.40054,27.599457,0.6791233,iS-GNN_grid_0p6Dr_results_ep_150_bs64_lr_5em04_k_diff_1_kNN_12_kernel_r_0_75_w_0_7em01.csv
