ID,LON,LAT,DEPTH,DIST,PLATE,QUALITY,REGIME_1,AZI,geometry
wsm75163,13.38,44.11,18.3,583.0,EU,C,TF,27.0,POINT (13.38 44.11)
wsm75168,12.25,44.19,24.5,574.0,EU,C,TF,35.0,POINT (12.25 44.19)
wsm75171,11.96,44.34,12.0,588.0,EU,C,TF,40.0,POINT (11.96 44.34)
wsm75191,11.34,44.31,27.6,582.0,EU,C,TF,60.0,POINT (11.34 44.31)
wsm75201,11.86,44.18,23.1,569.0,EU,C,TF,33.0,POINT (11.86 44.18)
wsm75211,12.0,44.31,15.0,585.0,EU,C,TF,150.0,POINT (12 44.31)
wsm75218,12.1,44.33,19.5,588.0,EU,C,TF,14.0,POINT (12.1 44.33)
wsm75225,11.98,44.31,22.9,585.0,EU,C,TF,15.0,POINT (11.98 44.31)
wsm75554,10.65,44.76,10.0,634.0,EU,C,SS,169.0,POINT (10.65 44.76)
wsm75620,10.18,40.89,10.0,218.0,EU,C,TF,100.0,POINT (10.18 40.89)
wsm75649,13.03,41.82,10.0,331.0,EU,C,TF,1.0,POINT (13.03 41.82)
wsm77314,12.44,43.89,18.5,543.0,EU,C,TF,157.0,POINT (12.44 43.89)
wsm78202,10.4,44.33,10.0,588.0,EU,C,NF,150.0,POINT (10.4 44.33)
wsm78952,12.53,42.52,10.0,395.0,EU,C,NF,82.0,POINT (12.53 42.52)
wsm81823,11.89,43.67,10.0,513.0,EU,C,NF,160.0,POINT (11.89 43.67)
wsm81832,12.03,43.59,6.0,505.0,EU,C,NF,166.0,POINT (12.03 43.59)
wsm81880,11.22,44.97,6.0,656.0,EU,C,TF,14.0,POINT (11.22 44.97)
wsm82536,11.86,43.87,10.0,535.0,EU,C,NF,130.0,POINT (11.86 43.87)
wsm82994,15.44,40.72,15.0,231.0,EU,C,NF,132.0,POINT (15.44 40.72)
wsm83081,11.57,44.14,4.0,564.0,EU,C,NF,122.0,POINT (11.57 44.14)
wsm84853,14.87,41.68,15.0,326.0,EU,C,SS,134.0,POINT (14.87 41.68)
wsm84871,14.88,41.8,15.0,339.0,EU,C,SS,125.0,POINT (14.88 41.8)
