ID,ISC_ID,SITE,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME,LOCALITY,COUNTRY,DATE,TIME,NUMBER,SD,TOT_LEN,VENT,TOP,BOT,ANISOTROPY,METHOD,S1AZ,S1PL,S2AZ,S2PL,S3AZ,S3PL,MAG_TYPE,EQ_MAG,CRUST,REF1,REF2,REF3,REF4,REF5,REF6,COMMENT,PLATE,DIST
wsm00181,,SW236,59.625,15.101,109,HF,0.35,A,TF,Stripa,Sweden,,,8.0,2.0,,,,,,,,,,,,,,,True,BJARRA1988,,,,,,Granite - FRSDB,EU,1522.0
wsm00184,,HU22,46.78,16.353,104,BO,2.2,A,U,Bajansenye2,Hungary,,,19.0,4.0,238.0,,1848.0,2780.0,,,,,,,,,,,True,DOEVMU1990,,,,,,Combination of two wells: Bajansenye 2 und Bajansenye 4,EU,856.0
wsm00185,,CZ18,49.296,19.747,999,BO,1.2,E,U,Oravice,Slovakia,,,,,,,,,,,,,,,,,,,True,PESKXX1991,,,,,,No reliable breakout. ABF-11 measurements in limestone for hydrogeological purposes.,EU,1095.0
wsm00221,,AE34,39.162,26.247,87,GFI,0.0,B,SS,Lesbos,Sea,,,10.0,,,,,,,,89.0,7.0,207.0,75.0,357.0,13.0,,,True,MERCET1989,,,,,,Miocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LS15.,AS,35.0
wsm00222,,AE32,39.15,23.872,66,GFI,0.0,C,NF,Alonissos,Greece,,,15.0,,,,,,,,225.0,79.0,66.0,10.0,335.0,4.0,,,True,MERCET1989,,,,,,Neog. deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #AL3.,AS,38.0
wsm00223,,AE31,39.145,23.867,70,GFI,0.0,A,NF,Alonissos,Greece,,,17.0,,,,,,,,233.0,89.0,70.0,1.0,340.0,0.0,,,True,MERCET1989,,,,,,Neogene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #AL1.,AS,38.0
wsm00224,,AE30,39.525,25.05,73,GFI,0.0,C,NF,AyiosEfstra,Greece,,,10.0,,,,,,,,241.0,81.0,73.0,9.0,342.0,5.0,,,True,MERCET1989,,,,,,lower Mioc. deposits afffected by mid-Pleistocene to recent faults. Inversion of stria and - or tension gashes. #AE4.,AS,64.0
wsm00225,,AE28,39.967,25.325,80,GFI,0.0,B,NF,Limos,Greece,,,15.0,,,,,,,,67.0,83.0,260.0,7.0,170.0,2.0,,,True,MERCET1989,,,,,,Miocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LI24.,AS,22.0
wsm00226,,AE27,39.928,25.068,93,GFI,0.0,B,NF,Limos,Greece,,,15.0,,,,,,,,281.0,78.0,93.0,12.0,184.0,3.0,,,True,MERCET1989,,,,,,lower Mioc. deposits affected by mid-Pleistocene to Recent faults - inversion of striae and - or tension gashes. #LI12.,AS,22.0
wsm00227,,AE26,40.008,25.383,78,GFI,0.0,A,NF,Limos,Greece,,,10.0,,,,,,,,109.0,76.0,258.0,12.0,349.0,7.0,,,True,MERCET1989,,,,,,Eocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LI2.,AS,17.0
wsm00228,,AE25,40.025,25.425,82,GFI,0.0,C,NF,Limos,Greece,,,11.0,,,,,,,,129.0,72.0,262.0,13.0,355.0,13.0,,,True,MERCET1989,,,,,,Eocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LI1.,AS,15.0
wsm00233,,NW19,60.817,5.033,173,OC,0.08,D,SS,Mongstad,Sea,,,,,,,,,,TR,174.0,5.0,322.0,84.0,83.0,3.0,,,True,STEPET1987,,,,,,FRSDB - SH=6.8 - Sh=2.5,EU,1208.0
wsm00234,,NW18,60.6,4.733,179,OC,0.11,D,SS,Hjartay,Sea,,,1.0,38.0,,,,,,TR,357.0,22.0,191.0,67.0,89.0,5.0,,,True,UTHEXX1989,,,,,,FRSDB - Comm. with Utheim. Leeman-N method - Gneiss - SH=7.9 - Sh=2.5,EU,1207.0
wsm00236,,ML3,35.91,14.42,116,OC,0.0,E,U,SalinaBay,Malta,,,32.0,21.0,,,,,,,,,,,,,,,True,BAUMRE1985,,,,,,SH = 2,AF,180.0
wsm00237,,ML2,35.9,14.45,126,OC,0.0,E,U,Quale/Malt,Malta,,,41.0,12.0,,,,,,,,,,,,,,,True,BAUMRE1985,,,,,,SH = 1.44 Sh = 0.62,AF,180.0
wsm00238,,ML1,35.836,14.5,137,OC,0.0,E,U,St.GeorgeB,Malta,,,40.0,18.0,,,,,,,,,,,,,,,True,BAUMRE1985,,,,,,#1 in BAUMRE85 SH = 0.49 Sh = 0.21 Coordinats read of map. Depth unknown.,AF,185.0
wsm00239,,FN10,60.1,22.883,77,OC,0.23,D,TF,Foerby,Finland,,,,8.0,,,,,,HG,,,,,,,,,True,STEPET1987,,,,,,Measurements done under a stope level. SH=23.3 MPa - Sh=14.5MPa - rock: gneiss - quartzite - limestone,EU,1603.0
wsm00242,,IT19,36.7,14.75,146,OC,0.0,E,U,Sampieri/Sic,Sea,,,40.0,10.0,,,,,,,,,,,,,,,True,BAUMRE1985,GRASET1986,,,,,NC SH = 0.17 - Sh = -0.01,AF,90.0
wsm00243,,IT1,42.2,11.32,61,OC,0.01,E,U,Nepi,Sea,,,,,,,,,,,,,,,,,,,True,BOUSET1987,,,,,,Range in values about mean = +32 - -11 deg.,EU,348.0
wsm00247,,GR9,36.95,24.75,78,OC,0.01,E,U,Faros_island,Greece,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +14 - -22 deg.,AS,231.0
wsm00251,,GR8,36.75,24.52,75,OC,0.01,E,U,Grilia_islan,Greece,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +8 - -10 deg.,AS,208.0
wsm00252,,GR7,36.68,24.43,72,OC,0.01,E,U,Hivatolimni,Greece,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +11 - -20 deg.,AS,197.0
wsm00254,,GR6,37.08,25.2,23,OC,0.01,E,U,Marathi_isla,Greece,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +26 - -15 deg.,AS,255.0
wsm00256,,GR44,40.867,25.617,73,GFI,0.0,C,NF,Thraki,Greece,,,5.0,,,,,,,,260.0,77.0,73.0,13.0,163.0,2.0,,,True,MERCET1989,,,,,,Eocene deposits affected by mid-Plestoc. to recent faults - invers. of stria and - or tension gashes #TK3(3).,EU,69.0
wsm00257,,SP3,36.17,-1.59,23,OC,0.01,Xmi,U,Bablia,Sea,,,,,,,,,,,,,,,,,,,True,PAQUXX1987,,,,,,Rangeinvaluesaboutmean=+18--18deg.,EU,45.0
wsm00259,,GR22,38.92,20.76,70,OC,0.01,E,SS,Preveza,Greece,,,6.0,,,,,,,,,,,,,,,,True,PAQUET1982,,,,,,Range in values about mean = +40 - -10 deg. PAQUET82 #13 - SH = 0.5 Sh = -1.5,EU,57.0
wsm00260,,GR2,38.47,20.58,90,OC,0.01,E,U,Fiscardo,Sea,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +5 - -25 deg.,EU,12.0
wsm00261,,GR18,40.92,24.42,0,OC,0.01,E,NS,Chalkero,Sea,,,10.0,,,,,,,,,,,,,,,,True,PAQUET1982,,,,,,Range in values about mean = +10 - -15 deg. PAQUET82 #9 SH = 0 - Sh = -22 MPa,EU,97.0
wsm00262,,GR16,40.83,25.5,75,OC,0.01,E,NS,Marounia,Sea,,,6.0,,,,,,,,,,,,,,,,True,PAQUET1982,,,,,,Range in values about mean = +25 - -25 deg. PAQUET82 #7 - SH = 0 - Sh = -2.5,EU,71.0
wsm00263,,GR15,40.83,25.75,165,OC,0.01,E,NS,Makri,Sea,,,2.0,,,,,,,,,,,,,,,,True,PAQUET1982,,,,,,Range in values about mean = +1 - -1 deg. PAQUET82 #6 - SH = 0 - Sh = -2MPa,EU,60.0
wsm00264,,GR14,38.17,24.0,45,OC,0.01,E,NF,Marathon,Greece,,,8.0,,,,,,,,,,,,,,,,True,PAQUET1982,,,,,,Range in values about mean = +35 - -25 deg. PAQUET #5 - SH = -0.5 - Sh = -2 MPa,AS,103.0
wsm00266,,GR10,37.53,25.22,16,OC,0.01,E,U,Agios_Ioanni,Sea,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +22 - -20 deg.,AS,225.0
wsm00267,,GR1,39.77,19.93,70,OC,0.01,E,U,Kassiopi,Greece,,,,,,,,,,,,,,,,,,,True,PAQUET1984,,,,,,Range in values about mean = +11 - -14 deg.,EU,149.0
wsm00268,,DK3,55.84,11.94,57,FMS,9.2,D,NF,,Sea,02/01/1982,,,,,,,,,,123.0,62.0,237.0,12.0,332.0,24.0,ML,1.0,True,SLUNET1984,,,,,,NC,EU,1865.0
wsm00274,,SW45,55.93,15.39,155,FMS,17.1,C,SS,,Sea,30/06/1982,,,,,,,,,,336.0,29.0,151.0,61.0,245.0,2.0,ML,2.8,True,SLUNET1984,,,,,,NC,EU,1874.0
wsm00283,,SW175,59.351,17.974,118,OC,0.02,E,U,Huvudsta/Sto,Sweden,,,6.0,54.0,,,,,,,,,,,,,,,True,STRIXX1980,,,,,,average of 6 measuringpoints.,EU,1599.0
wsm00286,,AE24,39.027,26.185,92,GFI,0.0,C,NS,Lesbos,Greece,,,57.0,,,,,,,,271.0,48.0,93.0,42.0,2.0,1.0,,,True,MERCET1989,,,,,,Striae surfaces and - or tension gashes. S2(92 - 42). TABLE 1 - #LS17(a - b).,AS,47.0
wsm00287,,AE23,39.027,26.185,92,GFI,0.0,B,SS,Lesbos,Greece,,,18.0,,,,,,,,271.0,32.0,94.0,58.0,2.0,1.0,,,True,MERCET1989,,,,,,Striae surfaces and - or tension gashes. S2(93 - 57). TABLE 1 - #LS17(b).,AS,47.0
wsm00288,,AE22,39.027,26.185,92,GFI,0.0,B,NF,Lesbos,Greece,,,17.0,,,,,,,,95.0,69.0,272.0,21.0,2.0,1.0,,,True,MERCET1989,,,,,,Striae surfaces and - or tension gashes. S2(271 - 21). TABLE 1 - #LS17(a).,AS,47.0
wsm00289,,AE21,39.38,26.302,72,GFI,0.0,A,NF,Lesbos,Sea,,,15.0,,,,,,,,260.0,86.0,72.0,4.0,162.0,0.0,,,True,MERCET1989,,,,,,Miocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LS9.,AS,17.0
wsm00290,,AE20,39.027,26.185,94,GFI,0.0,A,NF,Lesbos,Greece,,,48.0,,,,,,,,96.0,80.0,274.0,10.0,5.0,8.0,,,True,MERCET1989,,,,,,Neogene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LS7.,AS,47.0
wsm00291,,AE19,39.12,26.485,84,GFI,0.0,B,NF,Lesbos,Greece,,,10.0,,,,,,,,77.0,61.0,264.0,29.0,172.0,3.0,,,True,MERCET1989,,,,,,Pliocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #LS3.,AS,23.0
wsm00292,,AE18,39.108,26.563,74,GFI,0.0,C,NF,Lesbos,Greece,,,9.0,,,,,,,,58.0,83.0,254.0,7.0,164.0,2.0,,,True,MERCET1989,,,,,,Pliocene to Quarternary striae surfaces and - or tension gashes. S2(254 - 7). TABLE 1 - #LS1.,AS,22.0
wsm00293,,AE17,40.633,24.567,83,GFI,0.0,B,NF,Thassos,Greece,,,10.0,,,,,,,,44.0,70.0,263.0,16.0,170.0,9.0,,,True,MERCET1989,,,,,,Miocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. TS11.,EU,64.0
wsm00294,,AE16,40.625,24.583,84,GFI,0.0,B,NF,Thassos,Greece,,,8.0,,,,,,,,111.0,74.0,264.0,14.0,356.0,7.0,,,True,MERCET1989,,,,,,Neogene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #TS5,EU,63.0
wsm00295,,AE15,40.492,25.492,84,GFI,0.0,B,NF,Samothraki,Greece,,,14.0,,,,,,,,32.0,79.0,264.0,7.0,173.0,9.0,,,True,MERCET1989,,,,,,Neogene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #SA14,EU,38.0
wsm00296,,AE14,40.43,25.693,72,GFI,0.0,B,NF,Samothraki,Greece,,,10.0,,,,,,,,178.0,81.0,72.0,2.0,342.0,9.0,,,True,MERCET1989,,,,,,Eocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #SA12,EU,29.0
wsm00297,,AE13,40.425,25.675,87,GFI,0.0,A,NF,Samothraki,Greece,,,21.0,,,,,,,,122.0,77.0,267.0,11.0,359.0,8.0,,,True,MERCET1989,,,,,,Cretaceous deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #SA11,EU,30.0
wsm00298,,AE12,40.495,25.683,79,GFI,0.0,C,NF,Samothraki,Sea,,,7.0,,,,,,,,188.0,75.0,79.0,5.0,348.0,14.0,,,True,MERCET1989,,,,,,Striae surfaces and - or tension gashes. S2(79 - 5). SA8.,EU,33.0
wsm00300,,AE11,40.477,25.527,67,GFI,0.0,C,NF,Samothraki,Greece,,,7.0,,,,,,,,79.0,62.0,247.0,28.0,340.0,5.0,,,True,MERCET1989,,,,,,Eocene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #SA7,EU,37.0
wsm00301,,AE10,40.43,25.545,84,GFI,0.0,C,NF,Samothraki,Greece,,,9.0,,,,,,,,354.0,82.0,84.0,0.0,174.0,8.0,,,True,MERCET1989,,,,,,Cretaceous deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #SA4,EU,32.0
wsm00311,,NO46,59.6,3.5,125,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1216.0
wsm00312,,NO45,59.6,2.2,160,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1159.0
wsm00313,,NO44,59.7,3.2,110,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1196.0
wsm00314,,NO43,59.8,2.2,110,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1145.0
wsm00315,,NO42,60.0,4.3,110,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1225.0
wsm00316,,NO41,60.0,2.5,102,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1145.0
wsm00317,,NO40,61.0,2.0,145,BO,0.0,C,U,Viking_Grabe,Sea,,,,,,,,,,,,,,,,,,,True,JANOET1988,,,,,,NC,EU,1058.0
wsm00318,,NO39,61.174,2.207,109,BO,2.4,C,U,W34/10-1/Gra,Sea,,,2.0,,74.0,,,,,,,,,,,,,,True,CLAUET1989,,,,,,NC,EU,1057.0
wsm00319,,NO38,60.524,2.359,90,BO,3.85,B,U,W30/5-1/Grab,Sea,,,6.0,4.0,268.0,,,,,,,,,,,,,,True,CLAUET1989,,,,,,NC,EU,1104.0
wsm00325,,AE5,40.433,25.528,83,GFI,0.0,B,NF,Samothraki,Greece,,,14.0,,,,,,,,96.0,81.0,263.0,9.0,353.0,2.0,,,True,MERCET1989,,,,,,Neogene deposits affected by mid-Pleistocene to Recent faults - striae surfaces and - or tension gashes. #SA3,EU,32.0
wsm00326,,NO28,53.8,4.7,113,BO,0.0,C,U,,Sea,,,,,,,,,,,,,,,,,,,True,COXXXX1983,KLEIBA1986,,,,,NEEDS CHECK - measured off map (KB-73).,EU,1709.0
wsm00327,,NO27,53.35,4.6,148,BO,0.0,C,U,,Sea,,,,,,,,,,,,,,,,,,,True,COXXXX1983,KLEIBA1986,,,,,Original information in Cox (83) - measured off map by Klein and Barr 86.,EU,1664.0
wsm00374,,EG12,56.68,12.55,135,OC,0.19,D,SS,Ehrenfriders,Sea,,,3.0,,,,,,,,315.0,20.0,135.0,70.0,45.0,0.0,,,True,MJAKXX1983,,,,,,Direction of largest stress component coincides with dip of foliation planes.,EU,1796.0
wsm00376,,PO2,41.7,-8.0,61,OC,0.35,Xmi,U,Lindoso,Portugal,,,16.0,,,,,,,,,,,,,,,,True,SOUSET1988,,,,,,NC,EU,587.0
wsm00377,,PO1,37.7,-8.1,30,OC,0.3,Xmi,TF,Castro-Verde,Portugal,,,3.0,,,,,,,,,,,,,,,,True,BARRXX1987,,,,,,NC,EU,191.0
wsm00379,,NW24,61.517,7.3,101,OC,0.44,B,TF,Jostedal,Norway,,,2.0,6.0,,,,,,TR,101.0,25.0,200.0,18.0,322.0,58.0,,,True,STEPET1987,,,,,,FRSDB - SH=15.7-18.0 - Sh=9.7-13.0,EU,1196.0
wsm00380,,NW23,60.5,7.133,127,OC,0.48,D,NF,Eidsfjord,Norway,,,2.0,6.0,,,,,,TR,186.0,60.0,307.0,17.0,45.0,25.0,,,True,UTHEXX1989,,,,,,FRSDB - Comm. with Utheim - Leeman-N method - SH=8.4-11.0 - Sh=4.8-5.4,EU,1301.0
wsm00381,,NW21,60.067,6.55,139,OC,0.19,D,NF,Odda,Norway,,,1.0,,,,,,,TR,128.0,53.0,319.0,36.0,225.0,6.0,,,True,STEPET1987,,,,,,FRSDB - SH3.5 - Sh=0.6,EU,1323.0
wsm00382,,NW20,61.217,6.083,40,OC,0.63,D,SS,Hayanger,Norway,,,1.0,,,,,,,TR,220.0,9.0,330.0,65.0,125.0,23.0,,,True,STEPET1987,,,,,,FRSDB SH=29.4 - Sh=14.7,EU,1209.0
wsm00388,,NW46,62.0,7.333,137,OC,0.23,D,TF,Stryn,Norway,,,4.0,,,,,,,TR,315.0,8.0,219.0,36.0,55.0,53.0,,,True,UTHEXX1989,,,,,,LEEMAN-N.METHOD.FRSDB - PERS.COMM.WITH UTHEIM - SH=20.5 - Sh=6.2,EU,1145.0
wsm00389,,NW44,61.4,6.75,38,OC,0.38,D,TS,Lundebotn-Gr,Sea,,,1.0,,,,,,,TR,38.0,12.0,137.0,37.0,290.0,50.0,,,True,UTHEXX1989,,,,,,LEEMAN-N.METHOD.FRSDB - PERS.COMM.WITH UTHEIM - SH=25.6 - Sh=11.8,EU,1200.0
wsm00390,,NW43,60.133,6.333,102,OC,0.48,E,U,Folgefonna,Norway,,,1.0,,,,,,,TR,295.0,33.0,52.0,35.0,172.0,35.0,,,True,UTHEXX1989,,,,,,LEEMAN-N.METHOD.FRSDB - PERS.COMM.WITH UTHEIM - SH=19.2 - Sh=6.5,EU,1309.0
