AZI_PRED,LON,LAT
115,12.4,43.8
100,12.4,44
46,12.4,44.2
46,12.4,44.4
43,12.4,44.6
46,12.4,44.8
16,12.4,45
166,12.6,40.8
154,12.6,41
154,12.6,41.2
154,12.6,41.4
154,12.6,41.6
136,12.6,41.8
109,12.6,42
112,12.6,42.2
154,12.6,42.4
145,12.6,42.6
121,12.6,42.8
148,12.6,43
148,12.6,43.2
130,12.6,43.4
157,12.6,43.6
151,12.6,43.8
151,12.6,44
109,12.6,44.2
43,12.6,44.4
46,12.6,44.6
46,12.6,44.8
34,12.6,45
157,12.8,40.8
154,12.8,41
154,12.8,41.2
154,12.8,41.4
136,12.8,41.6
133,12.8,41.8
130,12.8,42
142,12.8,42.2
142,12.8,42.4
121,12.8,42.6
133,12.8,42.8
142,12.8,43
148,12.8,43.2
130,12.8,43.4
160,12.8,43.6
133,12.8,43.8
46,12.8,44
46,12.8,44.2
43,12.8,44.4
43,12.8,44.6
10,12.8,44.8
157,13,40.8
148,13,41
142,13,41.2
136,13,41.4
139,13,41.6
136,13,41.8
139,13,42
142,13,42.2
109,13,42.4
157,13,42.6
151,13,42.8
145,13,43
148,13,43.2
157,13,43.4
169,13,43.6
52,13,43.8
40,13,44
40,13,44.2
43,13,44.4
43,13,44.6
145,13.2,41
151,13.2,41.2
142,13.2,41.4
136,13.2,41.6
139,13.2,41.8
136,13.2,42
148,13.2,42.2
148,13.2,42.4
151,13.2,42.6
157,13.2,42.8
154,13.2,43
157,13.2,43.2
160,13.2,43.4
169,13.2,43.6
52,13.2,43.8
43,13.2,44
40,13.2,44.2
46,13.2,44.4
46,13.2,44.6
46,13.2,44.8
13,13.2,45
148,13.4,40.8
151,13.4,41
136,13.4,41.2
145,13.4,41.4
145,13.4,41.6
139,13.4,41.8
136,13.4,42
145,13.4,42.2
145,13.4,42.4
151,13.4,42.6
157,13.4,42.8
157,13.4,43
160,13.4,43.2
136,13.4,43.4
160,13.4,43.6
46,13.4,43.8
46,13.4,44
46,13.4,44.2
46,13.4,44.4
46,13.4,44.6
