AZI_PRED,LON,LAT,SET
136.8199,11,44.2,C
153.10428,11,44.4,F
147.31848,11,44.6,I
149.10056,11,44.8,C
5.4956994,11,45,F
86.03453,11.2,40,A
133.58667,11.2,40.2,D
77.85227,11.2,40.4,G
86.94375,11.2,40.6,A
137.25142,11.2,40.8,D
78.498634,11.2,41,G
95.57513,11.2,41.2,A
141.36536,11.2,41.4,D
98.48583,11.2,41.6,G
125.27165,11.2,41.8,A
146.75146,11.2,42,D
138.4529,11.2,42.2,G
148.96794,11.2,42.4,A
150.2702,11.2,42.6,D
156.12802,11.2,42.8,G
143.37881,11.2,43,A
136.12796,11.2,43.2,D
136.05225,11.2,43.4,G
134.75539,11.2,43.6,A
136.55334,11.2,43.8,D
134.30896,11.2,44,G
156.76405,11.2,44.2,A
157.91113,11.2,44.4,D
147.26775,11.2,44.6,G
162.02515,11.2,44.8,A
8.948354,11.2,45,D
137.05841,11.4,40,B
139.22574,11.4,40.2,E
141.09135,11.4,40.4,H
142.87228,11.4,40.6,B
144.07425,11.4,40.8,E
146.93161,11.4,41,H
149.50488,11.4,41.2,B
149.72656,11.4,41.4,E
152.90631,11.4,41.6,H
153.59763,11.4,41.8,B
152.60448,11.4,42,E
139.37982,11.4,42.2,H
155.50284,11.4,42.4,B
154.42017,11.4,42.6,E
156.35492,11.4,42.8,H
142.5245,11.4,43,B
138.82503,11.4,43.2,E
135.05688,11.4,43.4,H
139.32474,11.4,43.6,B
144.03014,11.4,43.8,E
136.69954,11.4,44,H
155.36928,11.4,44.2,B
179.88092,11.4,44.4,E
162.07185,11.4,44.6,H
170.94858,11.4,44.8,B
9.71499,11.4,45,E
138.21938,11.6,40,C
139.26373,11.6,40.2,F
141.1307,11.6,40.4,I
143.53552,11.6,40.6,C
144.00531,11.6,40.8,F
146.75209,11.6,41,I
149.81139,11.6,41.2,C
149.54602,11.6,41.4,F
152.50946,11.6,41.6,I
156.39645,11.6,41.8,C
152.57645,11.6,42,F
139.26212,11.6,42.2,I
156.9912,11.6,42.4,C
154.47601,11.6,42.6,F
144.66824,11.6,42.8,I
143.27232,11.6,43,C
154.96672,11.6,43.2,F
155.1392,11.6,43.4,I
150.39215,11.6,43.6,C
144.51215,11.6,43.8,F
129.20294,11.6,44,I
134.76195,11.6,44.2,C
6.35529,11.6,44.4,F
161.01784,11.6,44.6,I
162.26222,11.6,44.8,C
177.2266,11.6,45,F
87.9453,11.8,40,A
134.81924,11.8,40.2,D
80.38931,11.8,40.4,G
90.59315,11.8,40.6,A
138.53403,11.8,40.8,D
87.27284,11.8,41,G
109.15188,11.8,41.2,A
143.93143,11.8,41.4,D
121.032104,11.8,41.6,G
127.10817,11.8,41.8,A
148.50209,11.8,42,D
148.33322,11.8,42.2,G
157.32068,11.8,42.4,A
131.48283,11.8,42.6,D
133.02994,11.8,42.8,G
136.76877,11.8,43,A
153.4501,11.8,43.2,D
158.686,11.8,43.4,G
149.01514,11.8,43.6,A
133.80403,11.8,43.8,D
130.32195,11.8,44,G
13.756661,11.8,44.2,A
9.692419,11.8,44.4,D
161.22302,11.8,44.6,G
162.07915,11.8,44.8,A
156.82693,11.8,45,D
135.91568,12,40,B
138.60263,12,40.2,E
140.33058,12,40.4,H
150.07382,12,40.6,B
143.89987,12,40.8,E
146.77264,12,41,H
149.46364,12,41.2,B
150.0772,12,41.4,E
153.13542,12,41.6,H
138.58234,12,41.8,B
153.98564,12,42,E
140.10306,12,42.2,H
156.71281,12,42.4,B
129.4184,12,42.6,E
131.38182,12,42.8,H
137.6207,12,43,B
142.0594,12,43.2,E
153.68164,12,43.4,H
148.22693,12,43.6,B
139.04115,12,43.8,E
147.63254,12,44,H
12.7412,12,44.2,B
8.266528,12,44.4,E
164.06683,12,44.6,H
169.87007,12,44.8,B
174.52975,12,45,E
137.50606,12.2,40,C
138.82619,12.2,40.2,F
140.83624,12.2,40.4,I
143.22115,12.2,40.6,C
143.9725,12.2,40.8,F
146.9513,12.2,41,I
150.865,12.2,41.2,C
166.12224,12.2,41.4,F
153.2041,12.2,41.6,I
139.89366,12.2,41.8,C
153.9151,12.2,42,F
140.08719,12.2,42.2,I
143.24358,12.2,42.4,C
138.95357,12.2,42.6,F
142.00815,12.2,42.8,I
146.79112,12.2,43,C
138.00554,12.2,43.2,F
136.92673,12.2,43.4,I
134.71162,12.2,43.6,C
142.24542,12.2,43.8,F
149.93463,12.2,44,I
16.784456,12.2,44.2,C
174.94312,12.2,44.4,F
161.58357,12.2,44.6,I
162.83012,12.2,44.8,C
174.61182,12.2,45,F
95.73527,12.4,40,A
136.51512,12.4,40.2,D
116.188736,12.4,40.4,G
105.58312,12.4,40.6,A
139.19798,12.4,40.8,D
