AZI_PRED,LON,LAT,SET
134.0187,15.2,41.8,C
138.43779,15.8,41.8,C
140.2408,10.4,42.4,C
139.51315,11,42.4,C
128.56367,11.6,42.4,C
123.765205,12.2,42.4,C
130.05603,12.8,42.4,C
142.22574,13.4,42.4,C
127.69692,14,42.4,C
122.269196,14.6,42.4,C
129.38342,15.2,42.4,C
169.81453,15.8,42.4,C
135.83722,10.4,43,C
128.8143,11,43,C
131.07304,11.6,43,C
134.16806,12.2,43,C
136.06293,12.8,43,C
153.13838,13.4,43,C
76.07641,14,43,C
17.844288,14.6,43,C
19.438154,15.2,43,C
25.044754,15.8,43,C
135.01706,10.4,43.6,C
132.14221,11,43.6,C
134.54947,11.6,43.6,C
134.50273,12.2,43.6,C
145.5903,12.8,43.6,C
37.742035,13.4,43.6,C
25.254795,14,43.6,C
13.504504,14.6,43.6,C
16.21884,15.2,43.6,C
21.160559,15.8,43.6,C
110.380356,10.4,44.2,C
147.4971,11,44.2,C
151.53372,11.6,44.2,C
30.662966,12.2,44.2,C
19.597195,12.8,44.2,C
41.807915,13.4,44.2,C
35.969685,14,44.2,C
12.481841,14.6,44.2,C
18.369862,15.2,44.2,C
24.542723,15.8,44.2,C
3.4144056,10.4,44.8,C
1.1614852,11,44.8,C
12.474693,11.6,44.8,C
8.481348,12.2,44.8,C
135.93942,12.8,44.8,C
12.308777,13.4,44.8,C
1.903355,14,44.8,C
6.6921997,14.6,44.8,C
9.715812,15.2,44.8,C
12.664167,15.8,44.8,C
114.21251,10,40.2,D
117.73653,10.6,40.2,D
56.72611,12.4,40.2,D
14.733383,14.2,40.2,D
150.6044,14.8,40.2,D
142.9393,15.4,40.2,D
144.4521,16,40.2,D
108.51702,10,40.8,D
110.62543,10.6,40.8,D
117.50014,11.2,40.8,D
148.17122,11.8,40.8,D
81.991974,12.4,40.8,D
81.59814,13,40.8,D
149.84297,13.6,40.8,D
147.60002,14.2,40.8,D
142.61139,14.8,40.8,D
132.49751,15.4,40.8,D
129.43509,16,40.8,D
119.37153,10,41.4,D
105.74878,10.6,41.4,D
156.2767,11.8,41.4,D
151.43985,12.4,41.4,D
149.3193,13,41.4,D
144.36975,13.6,41.4,D
134.71616,14.2,41.4,D
138.26027,14.8,41.4,D
141.0853,15.4,41.4,D
136.94498,16,41.4,D
123.43777,10,42,D
143.16628,11.8,42,D
140.61082,12.4,42,D
146.49905,13,42,D
136.62085,13.6,42,D
128.61668,14.2,42,D
127.54146,14.8,42,D
129.87167,15.4,42,D
159.70695,16,42,D
136.58014,10,42.6,D
137.00381,10.6,42.6,D
129.48093,11.2,42.6,D
128.02838,11.8,42.6,D
125.07541,12.4,42.6,D
144.11345,13,42.6,D
147.577,13.6,42.6,D
101.74955,14.2,42.6,D
128.8121,14.8,42.6,D
7.853604,15.4,42.6,D
6.862813,16,42.6,D
136.46301,10,43.2,D
130.94844,10.6,43.2,D
131.92307,11.2,43.2,D
134.0614,11.8,43.2,D
138.49199,12.4,43.2,D
140.79413,13,43.2,D
7.203937,13.6,43.2,D
27.277815,14.2,43.2,D
16.955317,14.8,43.2,D
21.438236,15.4,43.2,D
22.769335,16,43.2,D
111.7193,10,43.8,D
131.6332,10.6,43.8,D
131.19495,11.2,43.8,D
134.41086,11.8,43.8,D
137.8341,12.4,43.8,D
45.62845,13,43.8,D
38.78947,13.6,43.8,D
27.463722,14.2,43.8,D
13.988226,14.8,43.8,D
20.9793,15.4,43.8,D
23.021236,16,43.8,D
118.5331,10,44.4,D
152.40054,10.6,44.4,D
150.13017,11.2,44.4,D
24.310604,11.8,44.4,D
27.952393,12.4,44.4,D
20.582586,13,44.4,D
38.765144,13.6,44.4,D
2.0532823,14.2,44.4,D
6.309031,14.8,44.4,D
17.594942,15.4,44.4,D
19.551653,16,44.4,D
5.3666415,10,45,D
171.79807,10.6,45,D
11.931537,11.2,45,D
3.1975496,11.8,45,D
167.61888,12.4,45,D
162.6665,13,45,D
4.31963,13.6,45,D
6.862757,14.2,45,D
8.658463,14.8,45,D
4.7455,15.4,45,D
16.724968,16,45,D
111.215126,10.2,40.2,E
118.972015,10.8,40.2,E
72.995224,12.6,40.2,E
5.4056745,14.4,40.2,E
150.17867,15,40.2,E
142.21541,15.6,40.2,E
107.61194,10.2,40.8,E
106.6705,10.8,40.8,E
128.68854,12,40.8,E
90.8275,12.6,40.8,E
163.764,13.2,40.8,E
148.96478,13.8,40.8,E
151.21474,14.4,40.8,E
136.90091,15,40.8,E
131.3323,15.6,40.8,E
108.03401,10.2,41.4,E
105.06502,10.8,41.4,E
176.4485,11.4,41.4,E
152.57892,12,41.4,E
157.76724,12.6,41.4,E
147.3657,13.2,41.4,E
140.67854,13.8,41.4,E
134.9338,14.4,41.4,E
140.63075,15,41.4,E
139.5057,15.6,41.4,E
123.264786,10.2,42,E
142.72708,11.4,42,E
145.7349,12,42,E
144.28752,12.6,42,E
147.49313,13.2,42,E
135.51292,13.8,42,E
133.18869,14.4,42,E
131.07727,15,42,E
131.07146,15.6,42,E
140.79698,10.2,42.6,E
136.80396,10.8,42.6,E
130.46005,11.4,42.6,E
127.38511,12,42.6,E
124.44124,12.6,42.6,E
145.43442,13.2,42.6,E
145.12029,13.8,42.6,E
72.043976,14.4,42.6,E
152.71796,15,42.6,E
12.017872,15.6,42.6,E
136.11415,10.2,43.2,E
130.55063,10.8,43.2,E
132.00916,11.4,43.2,E
135.88293,12,43.2,E
138.60947,12.6,43.2,E
145.80154,13.2,43.2,E
21.373404,13.8,43.2,E
17.693325,14.4,43.2,E
16.950123,15,43.2,E
22.941574,15.6,43.2,E
107.95464,10.2,43.8,E
134.80664,10.8,43.8,E
130.6662,11.4,43.8,E
136.48633,12,43.8,E
136.9155,12.6,43.8,E
47.41723,13.2,43.8,E
35.171776,13.8,43.8,E
16.91291,14.4,43.8,E
14.369759,15,43.8,E
22.884619,15.6,43.8,E
112.91342,10.2,44.4,E
140.358,10.8,44.4,E
148.30586,11.4,44.4,E
22.439947,12,44.4,E
110.83936,12.6,44.4,E
37.889786,13.2,44.4,E
36.702377,13.8,44.4,E
0.4214172,14.4,44.4,E
8.359874,15,44.4,E
16.557001,15.6,44.4,E
0.23531912,10.2,45,E
177.49727,10.8,45,E
11.70018,11.4,45,E
9.137964,12,45,E
147.14955,12.6,45,E
179.31914,13.2,45,E
3.7314177,13.8,45,E
7.5847015,14.4,45,E
9.313887,15,45,E
8.088171,15.6,45,E
109.9709,10.4,40.2,F
56.64992,12.8,40.2,F
166.79276,14.6,40.2,F
143.91785,15.2,40.2,F
140.76355,15.8,40.2,F
106.71272,10.4,40.8,F
106.33606,11,40.8,F
128.09186,11.6,40.8,F
73.89662,12.2,40.8,F
80.327965,12.8,40.8,F
152.81766,13.4,40.8,F
147.1811,14,40.8,F
149.01166,14.6,40.8,F
134.22862,15.2,40.8,F
131.25671,15.8,40.8,F
107.884674,10.4,41.4,F
108.18283,11,41.4,F
5.607251,11.6,41.4,F
153.57625,12.2,41.4,F
153.48512,12.8,41.4,F
142.36703,13.4,41.4,F
135.51793,14,41.4,F
135.07368,14.6,41.4,F
139.23843,15.2,41.4,F
138.0838,15.8,41.4,F
123.61449,10.4,42,F
146.63718,11.6,42,F
148.49503,12.2,42,F
141.30086,12.8,42,F
141.03209,13.4,42,F
133.80844,14,42,F
130.6776,14.6,42,F
129.564,15.2,42,F
146.00456,15.8,42,F
138.50046,10.4,42.6,F
135.11407,11,42.6,F
128.60068,11.6,42.6,F
124.90964,12.2,42.6,F
125.59007,12.8,42.6,F
150.33945,13.4,42.6,F
117.65953,14,42.6,F
122.09238,14.6,42.6,F
179.94441,15.2,42.6,F
0.8545045,15.8,42.6,F
133.91858,10.4,43.2,F
133.5221,11,43.2,F
133.0986,11.6,43.2,F
140.15005,12.2,43.2,F
