SHAZI,Lat,Lon,CONF90%,ANNU,WSM_DATA,CLUSTERS
85,41.400,10.200,16.000,2,4,4
82,41.400,10.400,20.000,3,4,3
82,41.400,10.600,24.000,3,4,3
82,41.400,10.800,24.000,3,4,3
82,41.400,11.000,27.000,3,4,3
151,41.400,11.800,59.000,3,3,3
154,41.400,12.200,47.000,2,3,3
154,41.400,12.400,53.000,2,3,3
154,41.400,12.600,57.000,2,4,4
154,41.400,12.800,57.000,2,4,4
136,41.400,13.000,16.000,3,22,11
142,41.400,13.200,12.000,2,10,10
145,41.400,13.400,14.000,2,13,10
145,41.400,13.600,17.000,2,15,10
139,41.400,13.800,10.000,2,19,15
136,41.400,14.000,11.000,2,22,17
130,41.400,14.200,14.000,1,4,4
127,41.400,14.400,8.000,1,7,7
130,41.400,14.600,7.000,1,9,9
133,41.400,14.800,8.000,1,7,7
130,41.400,15.000,22.000,1,3,3
127,41.400,15.200,13.000,1,5,5
130,41.400,15.400,21.000,1,6,6
163,41.400,15.600,40.000,1,4,4
133,41.400,15.800,13.000,2,20,18
145,41.400,16.000,12.000,2,15,13
82,41.600,10.000,22.000,3,4,3
82,41.600,10.200,24.000,3,4,3
82,41.600,10.400,24.000,3,4,3
82,41.600,10.600,24.000,3,4,3
82,41.600,10.800,23.000,3,3,3
133,41.600,11.600,39.000,3,4,4
133,41.600,11.800,39.000,3,4,4
133,41.600,12.000,56.000,3,5,5
154,41.600,12.200,47.000,2,3,3
133,41.600,12.400,31.000,3,7,7
154,41.600,12.600,36.000,1,3,3
136,41.600,12.800,41.000,2,4,4
139,41.600,13.000,14.000,2,10,9
136,41.600,13.200,12.000,2,17,12
145,41.600,13.400,26.000,1,3,3
142,41.600,13.600,13.000,1,6,6
142,41.600,13.800,13.000,1,7,7
130,41.600,14.000,18.000,1,4,4
139,41.600,14.200,9.000,2,27,17
130,41.600,14.400,14.000,1,5,5
127,41.600,14.600,8.000,1,10,10
133,41.600,14.800,8.000,1,11,11
127,41.600,15.000,10.000,1,7,7
142,41.600,15.200,26.000,1,3,3
106,41.600,15.400,24.000,1,3,3
133,41.600,15.600,22.000,1,3,3
